"151","AHF","Arapahoe Municipal Airport (FAA: 37V)","Arapahoe","United States","Arapahoe, Nebraska, United States"
"152","AHH","Amery Municipal Airport","Amery","United States","Amery, Wisconsin, United States"
"153","AHI","Amahai Airport","Amahai","Indonesia","Amahai, Indonesia"
"154","AHL","Aishalton Airport","Aishalton","Guyana","Aishalton, Guyana"
"155","AHN","Athens-Ben Epps Airport","Athens","United States","Athens, Georgia, United States"
"156","AHO","Fertilia Airport (Alghero Airport)","Alghero","Italy","Alghero, Sardinia, Italy"
"157","AHS","Ahuas Airport","Ahuas","Honduras","Ahuas, Honduras"
"158","AHU","Charif Al ldrissi Airport","Al Hoceima","Morocco","Al Hoceima, Morocco"
"159","AHY","Ambatolahy Airport","Ambatolahy","Madagascar","Ambatolahy, Madagascar"
"160","AHZ","Alpe d'Huez Airport","Alpe d'Huez","France","Alpe d'Huez, France"
"161","AIA","Alliance Municipal Airport","Alliance","United States","Alliance, Nebraska, United States"
"162","AIC","Airok Airport","Airok","Marshall Islands","Airok, Marshall Islands"
"163","AID","Anderson Municipal Airport (Darlington Field)","Anderson","United States","Anderson, Indiana, United States"
"164","AIE","Aiome Airport","Aiome","Papua New Guinea","Aiome, Papua New Guinea"
"165","AIF","Assis Airport","Assis","Brazil","Assis, São Paulo, Brazil"
"166","AIG","Yalinga Airport","Yalinga","Central African Republic","Yalinga, Central African Republic"
"167","AIH","Aiambak Airport","Aiambak","Papua New Guinea","Aiambak, Papua New Guinea"
"168","AII","Ali-Sabieh Airport","Ali-Sabieh","Djibouti","Ali-Sabieh, Djibouti"
"169","AIK","Aiken Municipal Airport","Aiken","United States","Aiken, South Carolina, United States"
"170","AIL","Ailigandi Airport","Ailigandi","Panama","Ailigandi, Panama"
"171","AIM","Ailuk Airport","Ailuk","Marshall Islands","Ailuk, Marshall Islands"
"172","AIN","Wainwright Airport (FAA: AWI)","Fort Wainwright","United States","Fort Wainwright, Alaska, United States"
"173","AIO","Atlantic Municipal Airport","Atlantic","United States","Atlantic, Iowa, United States"
"174","AIP","Ailinglaplap Airport","Ailinglaplap Atoll","Marshall Islands","Ailinglaplap Atoll, Marshall Islands"
"175","AIR","Aripuanã Airport","Aripuanã","Brazil","Aripuanã, Mato Grosso, Brazil"
"176","AIS","Arorae Island Airport","Arorae Island","Kiribati","Arorae Island, Kiribati"
"177","AIT","Aitutaki Island Airport","Aitutaki","Cook Islands","Aitutaki, Cook Islands"
"178","AIU","Atiu Island Airport","Atiu Island","Cook Islands","Atiu Island, Cook Islands"
"179","AIV","George Downer Airport","Aliceville","United States","Aliceville, Alabama, United States"
"180","AIW","Ai-Ais Airport","Ai-Ais","Namibia","Ai-Ais, Namibia"
"181","AIY","Atlantic City Municipal Airport (Bader Field) (closed 2006)","Atlantic City","United States","Atlantic City, New Jersey, United States"
"182","AIZ","Lee C. Fine Memorial Airport","Lake Ozark","United States","Lake Ozark, Missouri, United States"
"183","AJA","Ajaccio - Campo dell'Oro Airport","Ajaccio","France","Ajaccio, Corsica, France"
"184","AJF","Al-Jawf Domestic Airport","Al-Jawf","Saudi Arabia","Al-Jawf, Saudi Arabia"
"185","AJI","Ağrı Airport","Ağrı","Turkey","Ağrı, Turkey"
"186","AJJ","Akjoujt Airport","Akjoujt","Mauritania","Akjoujt, Mauritania"
"187","AJL","Aizawl Airport","Aizawl","India","Aizawl, India"
"188","AJN","Ouani Airport","Anjouan","Comoros Islands","Anjouan, Comoros Islands"
"189","AJO","Aljouf Airport","Aljouf","Yemen","Aljouf, Yemen"
"190","AJR","Arvidsjaur Airport","Arvidsjaur","Sweden","Arvidsjaur, Sweden"
"191","AJS","Abreojos Airport","Abreojos","Mexico","Abreojos, Baja California Sur, Mexico"
"192","AJU","Santa Maria Airport","Aracaju","Brazil","Aracaju, Sergipe, Brazil"
"193","AJY","Mano Dayak International Airport","Agadez","Niger","Agadez, Niger"
"194","AKA","Ankang Airport","Ankang","People's Republic of China","Ankang, Shaanxi, People's Republic of China"
"195","AKB","Atka Airport (FAA: AKA)","Atka","United States","Atka, Alaska, United States"
"196","AKC","Akron Fulton International Airport (FAA: AKR)","Akron","United States","Akron, Ohio, United States"
"197","AKD","Akola Airport","Akola","India","Akola, India"
"198","AKE","Akieni Airport","Akieni","Gabon","Akieni, Gabon"
"199","AKF","Kufra Airport","Kufra","Libya","Kufra, Libya"
"200","AKG","Anguganak Airport","Anguganak","Papua New Guinea","Anguganak, Papua New Guinea"
"201","AKI","Akiak Airport","Akiak","United States","Akiak, Alaska, United States"
"202","AKJ","Asahikawa Airport","Asahikawa","Japan","Asahikawa, Hokkaido, Japan"
"203","AKK","Akhiok Airport","Akhiok","United States","Akhiok, Alaska, United States"
"204","AKL","Auckland Airport","Mangere","New Zealand","Mangere, New Zealand"
